StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       04,      00,   201403,   3.28,   53.5,  -5.59,  -5.59,   -.95,  -5.59,     10,    300,    .24,    .27,   -.63,  -1.91,  -1.77,  -1.96,  -1.68,   41.6,   65.3,
       04,      00,   201404,   1.06,   57.7,  -5.53,  -5.53,  -1.56,  -5.53,     22,    217,   -.36,      0,    .08,  -1.73,  -1.83,  -1.79,  -1.85,   44.4,     71,
       04,      00,   201405,    .35,   64.6,  -6.05,  -6.05,  -3.27,  -6.05,     81,     91,   -.87,   -.85,   -.25,  -1.59,  -2.04,  -1.93,  -1.91,   50.5,   78.8,
       04,      00,   201406,    .06,   71.9,  -6.77,  -6.77,  -4.01,  -6.77,    151,     26,  -1.12,  -1.44,  -1.08,   -.91,  -2.18,  -2.07,  -1.93,   56.6,   87.1,
       04,      00,   201407,    .22,   78.4,  -7.01,  -7.01,  -2.83,  -7.01,    313,      0,    .53,   -.71,  -1.32,    -.1,  -1.98,  -2.08,  -1.95,     64,   92.7,
       04,      00,   201408,    .45,   74.9,  -6.35,  -6.35,   -.18,  -6.35,    253,      1,   1.18,   1.12,    .04,   -.23,  -1.62,   -2.1,  -1.96,   60.8,     89,
       04,      00,   201409,    .72,   72.2,  -5.53,  -5.53,     .5,  -5.29,    225,      7,    .94,   1.15,   1.16,   -.47,   -.76,  -2.07,  -1.84,   58.3,   86.2,
       04,      00,   201410,   1.06,   64.4,   -5.3,   -5.3,     -1,   -5.3,     97,     60,      0,    .25,    .45,   -.35,   -.02,  -1.77,  -1.77,   50.8,   78.1,
       04,      00,   201411,   1.84,   53.1,  -5.22,  -5.22,  -1.42,  -5.22,     11,    256,   -.27,   -.32,   -.14,   -.15,   -.43,  -1.53,  -2.06,     42,   64.2,
       04,      00,   201412,    6.3,   46.8,  -3.98,  -3.98,   2.13,  -3.13,      0,    444,   1.15,     .7,     .6,    .77,    .35,   -.31,  -2.07,   38.9,   54.6,
       04,      00,   201501,    .65,   48.6,  -4.84,  -4.84,  -3.81,  -4.84,      5,    395,   -1.8,   -.09,    -.3,    -.2,   -.38,   -.34,  -2.01,   37.9,   59.4,
       04,      00,   201502,   2.86,   53.2,  -4.86,  -4.86,  -1.55,  -4.86,      7,    269,    -.2,  -1.29,   -.28,    -.4,    -.4,   -.57,  -1.73,   41.4,     65,
       04,      00,   201503,    .78,   56.9,  -5.67,  -5.67,  -3.96,  -5.67,     26,    212,  -1.51,  -1.03,  -1.82,   -.87,   -.74,  -1.03,  -1.82,   43.7,   70.2,
       04,      00,   201504,   1.06,   56.7,  -5.53,  -5.53,  -1.31,  -5.53,     18,    236,   -.36,  -1.58,  -1.14,   -.92,   -.82,   -.97,  -1.77,     43,   70.3,
